Registration ID,Year,Work Country,Region,Title Category,Registration Type,Gender,# of Abstract Submissions
145,6,USA,USA,Undergraduate Student,Student,Male,0
146,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Male,2
147,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Male,0
148,6,Israel,Middle East,Academia Scientist,Professional/Academic,Male,0
149,6,USA,USA,Industry,Professional/Academic,Male,1
150,6,USA,USA,Professor,Professional/Academic,Male,1
151,6,USA,USA,Graduate Student,Student,Male,0
152,6,USA,USA,Industry,Professional/Academic,Male,0
153,6,USA,USA,Industry,Professional/Academic,Male,0
154,6,USA,USA,Graduate Student,Student,Male,0
155,6,USA,USA,Graduate Student,Student,Male,0
156,6,USA,USA,Graduate Student,Student,Male,2
157,6,USA,USA,Undergraduate Student,Student,Female,0
158,6,USA,USA,Academia Scientist,Professional/Academic,Female,0
159,6,USA,USA,Professor,Professional/Academic,Male,0
160,6,USA,USA,Industry,Professional/Academic,Male,0
161,6,USA,USA,Graduate Student,Student,Female,0
162,6,USA,USA,Graduate Student,Student,Male,2
163,6,USA,USA,Undergraduate Student,Complementary Registration - Student,Female,0
164,6,USA,USA,Graduate Student,Student,Male,0
165,6,USA,USA,Government Scientist,Professional/Academic,Male,0
166,6,USA,USA,Undergraduate Student,Student,Male,0
167,6,USA,USA,Graduate Student,Complementary Registration - Student,Female,0
168,6,USA,USA,Graduate Student,Student,Male,0
169,6,USA,USA,Professor,Professional/Academic,Female,0
170,6,USA,USA,Graduate Student,Student,Male,0
171,6,USA,USA,Industry,Professional/Academic,Female,0
172,6,USA,USA,Industry,Professional/Academic,Male,0
173,6,USA,USA,Industry,Professional/Academic,Male,0
174,6,USA,USA,Professor,Professional/Academic,Male,0
175,6,USA,USA,Industry,Professional/Academic,Male,0
176,6,USA,USA,Industry,Professional/Academic,Male,0
177,6,USA,USA,Postdoctoral Researcher,Student,Female,0
178,6,USA,USA,Industry,Professional/Academic,Male,1
179,6,USA,USA,Graduate Student,Student,Male,2
180,6,USA,USA,Graduate Student,Student,Female,2
181,6,USA,USA,Graduate Student,Student,Female,2
182,6,USA,USA,Industry,Professional/Academic,Male,0
183,6,USA,USA,Graduate Student,Student,Male,0
184,6,USA,USA,Industry,Professional/Academic,Male,0
185,6,USA,USA,Graduate Student,Student,Female,0
186,6,USA,USA,Industry,Professional/Academic,Female,1
187,6,Saudi Arabia,Middle East,Academia Scientist,Professional/Academic,Male,1
188,6,USA,USA,Graduate Student,Student,Male,0
189,6,USA,USA,Undergraduate Student,Complementary Registration - Student,Female,0
190,6,USA,USA,Graduate Student,Student,Male,0
191,6,USA,USA,Professor,Professional/Academic,Male,0
192,6,USA,USA,Industry,Professional/Academic,Female,0
193,6,USA,USA,Graduate Student,Student,Female,0
194,6,USA,USA,Professor,Professional/Academic,Male,0
195,6,USA,USA,Industry,Professional/Academic,Female,0
196,6,United Kingdom,Europe,Graduate Student,Student,Male,1
197,6,USA,USA,Industry,Professional/Academic,Male,0
198,6,Netherlands,Europe,Industry,Professional/Academic,Male,1
199,6,USA,USA,Graduate Student,Student,Male,0
200,6,Germany,Europe,Professor,Student,Male,0
201,6,USA,USA,Graduate Student,Student,Female,1
202,6,USA,USA,Graduate Student,Student,Male,0
203,6,USA,USA,Graduate Student,Student,Male,1
204,6,USA,USA,Graduate Student,Student,Male,0
205,6,USA,USA,Graduate Student,Student,Male,0
206,6,Singapore,Asia,Industry,Professional/Academic,Male,0
207,6,USA,USA,Academia Scientist,Professional/Academic,Female,0
208,6,USA,USA,Graduate Student,Student,Female,0
209,6,USA,USA,Industry,Professional/Academic,Male,0
210,6,USA,USA,Graduate Student,Student,Male,0
211,6,Norway,Europe,Professor,Professional/Academic,Female,0
212,6,USA,USA,Graduate Student,Student,Male,0
213,6,USA,USA,Graduate Student,Student,Male,0
214,6,Canada,Other Americas,Academia Scientist,Student,Male,1
215,6,USA,USA,Professor,Professional/Academic,Male,1
216,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Female,0
217,6,USA,USA,Professor,Professional/Academic,Female,0
218,6,USA,USA,Graduate Student,Student,Male,2
219,6,USA,USA,Graduate Student,Student,Male,0
220,6,USA,USA,Graduate Student,Student,Male,1
221,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Male,0
222,6,USA,USA,Graduate Student,Student,Male,0
223,6,USA,USA,Graduate Student,Student,Male,1
224,6,Netherlands,Europe,Graduate Student,Student,Female,1
225,6,Poland,Europe,Industry,Professional/Academic,Female,0
226,6,Canada,Other Americas,Graduate Student,Student,Male,1
227,6,Canada,Other Americas,Graduate Student,Student,Male,0
228,6,USA,USA,Professor,Professional/Academic,Female,0
229,6,USA,USA,Graduate Student,Student,Male,1
230,6,USA,USA,Graduate Student,Student,Female,1
231,6,USA,USA,Industry,Professional/Academic,Male,0
232,6,USA,USA,Professor,Professional/Academic,Male,0
233,6,USA,USA,Graduate Student,Student,Male,0
234,6,Israel,Middle East,Graduate Student,Student,Male,1
235,6,Israel,Middle East,Professor,Professional/Academic,Male,1
236,6,USA,USA,Industry,Professional/Academic,Male,0
237,6,USA,USA,Professor,Professional/Academic,Female,0
238,6,USA,USA,Professor,Professional/Academic,Male,0
239,6,USA,USA,Graduate Student,Student,Male,0
240,6,USA,USA,Undergraduate Student,Student,Male,0
241,6,Saudi Arabia,Middle East,Graduate Student,Student,Male,1
242,6,USA,USA,Graduate Student,Student,Male,1
243,6,USA,USA,Graduate Student,Student,Male,1
244,6,Hungary,Europe,Industry,Professional/Academic,Male,0
245,6,USA,USA,Graduate Student,Student,Male,0
246,6,United Kingdom,Europe,Academia Scientist,Professional/Academic,Female,0
247,6,USA,USA,Government Scientist,Professional/Academic,Male,0
248,6,USA,USA,Industry,Professional/Academic,Male,0
249,6,USA,USA,Graduate Student,Student,Male,0
250,6,Ireland,Europe,Industry,Professional/Academic,Male,0
251,6,USA,USA,Graduate Student,Student,Male,0
252,6,USA,USA,Industry,Professional/Academic,Male,0
253,6,USA,USA,Graduate Student,Student,Male,0
254,6,USA,USA,Government Scientist,Professional/Academic,Male,0
255,6,USA,USA,Professor,Professional/Academic,Male,2
256,6,USA,USA,Graduate Student,Student,Female,0
257,6,Israel,Middle East,Professor,Professional/Academic,Male,1
258,6,China,Asia,Postdoctoral Researcher,Professional/Academic,Female,1
259,6,Canada,Other Americas,Graduate Student,Student,Male,0
260,6,USA,USA,Industry,Professional/Academic,Male,0
261,6,USA,USA,Professor,Professional/Academic,Male,1
262,6,USA,USA,Professor,Professional/Academic,Male,2
263,6,USA,USA,Industry,Professional/Academic,Female,0
264,6,Saudi Arabia,Middle East,Postdoctoral Researcher,Professional/Academic,Female,0
265,6,USA,USA,Professor,Professional/Academic,Male,0
266,6,USA,USA,Graduate Student,Student,Male,1
267,6,Canada,Other Americas,Undergraduate Student,Student,Female,0
268,6,Saudi Arabia,Middle East,Academia Scientist,Complimentary Registration,Male,1
269,6,USA,USA,Industry,Professional/Academic,Male,0
270,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Female,0
271,6,Israel,Middle East,Professor,Professional/Academic,Male,1
272,6,Italy,Europe,Academia Scientist,Professional/Academic,Female,1
273,6,USA,USA,Industry,Professional/Academic,Male,0
274,6,Germany,Europe,Professor,Professional/Academic,Male,1
275,6,USA,USA,Industry,Professional/Academic,Male,0
276,6,USA,USA,Professor,Professional/Academic,Male,1
277,6,USA,USA,Professor,Professional/Academic,Female,0
278,6,USA,USA,Graduate Student,Student,Male,0
279,6,USA,USA,Professor,Professional/Academic,Female,0
280,6,Israel,Middle East,Postdoctoral Researcher,Student,Male,0
281,6,USA,USA,Graduate Student,Student,Male,2
282,6,Norway,Europe,Academia Scientist,Professional/Academic,Female,0
283,6,USA,USA,Graduate Student,Student,Female,0
284,6,USA,USA,Graduate Student,Student,Male,1
285,6,USA,USA,Graduate Student,Student,Female,0
286,6,USA,USA,Industry,Professional/Academic,Female,0
287,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Male,0
288,6,USA,USA,Industry,Professional/Academic,Female,0
289,6,USA,USA,Graduate Student,Student,Female,2
290,6,USA,USA,Industry,Professional/Academic,Male,0
291,6,USA,USA,Industry,Professional/Academic,Male,0
292,6,USA,USA,Industry,Professional/Academic,Male,1
293,6,USA,USA,Industry,Professional/Academic,Male,0
294,6,USA,USA,Professor,Professional/Academic,Female,0
295,6,USA,USA,Graduate Student,Student,Female,0
296,6,Netherlands,Europe,Graduate Student,Student,Female,0
297,6,Colombia,Other Americas,Industry,Professional/Academic,Male,0
298,6,USA,USA,Industry,Professional/Academic,Male,0
299,6,USA,USA,Professor,Professional/Academic,Male,0
300,6,USA,USA,Professor,Professional/Academic,Female,0
301,6,USA,USA,Industry,Professional/Academic,Male,0
302,6,USA,USA,Professor,Professional/Academic,Male,2
303,6,USA,USA,Undergraduate Student,Student,Female,0
304,6,USA,USA,Graduate Student,Student,Male,0
305,6,USA,USA,Professor,Professional/Academic,Male,2
306,6,USA,USA,Professor,Professional/Academic,Male,0
307,6,USA,USA,Graduate Student,Student,Male,0
308,6,USA,USA,Graduate Student,Student,Female,0
309,6,USA,USA,Government Scientist,Professional/Academic,Male,0
310,6,USA,USA,Professor,Professional/Academic,Female,0
311,6,USA,USA,Industry,Professional/Academic,Male,0
312,6,Switzerland,Europe,Graduate Student,Student,Male,1
313,6,China,Asia,Graduate Student,Student,Unknown,1
314,6,Switzerland,Europe,Graduate Student,Student,Female,1
315,6,Saudi Arabia,Middle East,Postdoctoral Researcher,Professional/Academic,Male,0
316,6,USA,USA,Industry,Professional/Academic,Female,0
317,6,USA,USA,Graduate Student,Student,Male,0
318,6,USA,USA,Graduate Student,Student,Female,2
319,6,USA,USA,Professor,Professional/Academic,Male,0
320,6,USA,USA,Graduate Student,Student,Male,0
321,6,USA,USA,Graduate Student,Complementary Registration - Student,Male,0
322,6,Saudi Arabia,Middle East,Graduate Student,Student,Male,2
323,6,USA,USA,Unknown/Other,Complementary Registration - Student,Female,0
324,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Male,0
325,6,USA,USA,Graduate Student,Student,Male,0
326,6,USA,USA,Industry,Professional/Academic,Female,0
327,6,USA,USA,Industry,Professional/Academic,Female,0
328,6,Norway,Europe,Graduate Student,Student,Male,0
329,6,USA,USA,Graduate Student,Student,Female,0
330,6,USA,USA,Professor,Professional/Academic,Male,1
331,6,USA,USA,Graduate Student,Student,Male,1
332,6,Canada,Other Americas,Graduate Student,Student,Male,0
333,6,USA,USA,Graduate Student,Student,Male,0
334,6,Australia,Oceania,Graduate Student,Student,Unknown,0
335,6,United Kingdom,Europe,Academia Scientist,Professional/Academic,Male,0
336,6,USA,USA,Industry,Complimentary Registration,Female,0
337,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Male,0
338,6,USA,USA,Industry,Complimentary Registration,Male,0
339,6,USA,USA,Graduate Student,Student,Male,0
340,6,USA,USA,Industry,Professional/Academic,Male,0
341,6,USA,USA,Industry,Professional/Academic,Male,0
342,6,USA,USA,Graduate Student,Student,Male,0
343,6,USA,USA,Government Scientist,Professional/Academic,Female,0
344,6,USA,USA,Graduate Student,Student,Male,0
345,6,Canada,Other Americas,Academia Scientist,Student,Female,0
346,6,USA,USA,Industry,Complimentary Registration,Male,0
347,6,USA,USA,Professor,Professional/Academic,Male,1
348,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Male,1
349,6,USA,USA,Industry,Professional/Academic,Male,0
350,6,USA,USA,Graduate Student,Student,Unknown,0
351,6,USA,USA,Professor,Professional/Academic,Female,0
352,6,Netherlands,Europe,Academia Scientist,Professional/Academic,Male,0
353,6,USA,USA,Industry,Professional/Academic,Male,0
354,6,Israel,Middle East,Professor,Professional/Academic,Male,0
355,6,Japan,Asia,Industry,Professional/Academic,Male,0
356,6,USA,USA,Graduate Student,Student,Male,0
357,6,USA,USA,Graduate Student,Student,Female,0
358,6,USA,USA,Professor,Professional/Academic,Male,1
359,6,USA,USA,Professor,Complimentary Registration,Male,1
360,6,USA,USA,Graduate Student,Student,Male,0
361,6,United Kingdom,Europe,Postdoctoral Researcher,Professional/Academic,Male,0
362,6,USA,USA,Graduate Student,Student,Male,2
363,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Male,0
364,6,Hungary,Europe,Graduate Student,Student,Male,1
365,6,USA,USA,Graduate Student,Student,Male,1
366,6,Israel,Middle East,Graduate Student,Student,Male,0
367,6,USA,USA,Graduate Student,Student,Male,0
368,6,USA,USA,Industry,Professional/Academic,Male,0
369,6,USA,USA,Graduate Student,Student,Female,1
370,6,USA,USA,Industry,Professional/Academic,Unknown,0
371,6,Germany,Europe,Graduate Student,Student,Male,1
372,6,USA,USA,Industry,Professional/Academic,Male,1
373,6,USA,USA,Industry,Professional/Academic,Male,0
374,6,USA,USA,Industry,Professional/Academic,Male,0
375,6,USA,USA,Graduate Student,Student,Female,0
376,6,USA,USA,Industry,Professional/Academic,Male,0
377,6,USA,USA,Professor,Professional/Academic,Male,0
378,6,USA,USA,Industry,Professional/Academic,Male,0
379,6,USA,USA,Government Scientist,Professional/Academic,Male,0
380,6,Germany,Europe,Academia Scientist,Professional/Academic,Male,0
381,6,USA,USA,Professor,Professional/Academic,Male,0
382,6,USA,USA,Graduate Student,Student,Male,0
383,6,USA,USA,Industry,Professional/Academic,Female,0
384,6,USA,USA,Graduate Student,Student,Female,0
385,6,Canada,Other Americas,Graduate Student,Student,Female,0
386,6,Canada,Other Americas,Graduate Student,Student,Male,1
387,6,United Kingdom,Europe,Academia Scientist,Professional/Academic,Female,1
388,6,Canada,Other Americas,Professor,Professional/Academic,Male,0
389,6,Canada,Other Americas,Government Scientist,Professional/Academic,Male,0
390,6,Germany,Europe,Graduate Student,Student,Female,0
391,6,United Kingdom,Europe,Graduate Student,Student,Female,1
392,6,USA,USA,Graduate Student,Student,Male,0
393,6,Canada,Other Americas,Postdoctoral Researcher,Professional/Academic,Female,0
394,6,USA,USA,Graduate Student,Student,Female,0
395,6,South Korea,Asia,Unknown/Other,Student,Unknown,0
396,6,Canada,Other Americas,Professor,Professional/Academic,Male,1
397,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Female,0
398,6,USA,USA,Graduate Student,Student,Male,0
399,6,Switzerland,Europe,Graduate Student,Student,Female,1
400,6,USA,USA,Graduate Student,Student,Male,0
401,6,USA,USA,Graduate Student,Student,Female,1
402,6,USA,USA,Graduate Student,Student,Female,0
403,6,USA,USA,Graduate Student,Student,Male,2
404,6,USA,USA,Industry,Professional/Academic,Female,0
405,6,USA,USA,Government Scientist,Student,Male,1
406,6,Singapore,Asia,Graduate Student,Student,Female,2
407,6,USA,USA,Graduate Student,Student,Female,0
408,6,USA,USA,Industry,Professional/Academic,Unknown,0
409,6,USA,USA,Graduate Student,Student,Female,2
410,6,United Kingdom,Europe,Graduate Student,Student,Female,0
411,6,China,Asia,Professor,Professional/Academic,Male,1
412,6,USA,USA,Graduate Student,Student,Male,0
413,6,USA,USA,Unknown/Other,Student,Unknown,0
414,6,USA,USA,Graduate Student,Student,Female,1
415,6,Canada,Other Americas,Undergraduate Student,Student,Male,0
416,6,USA,USA,Graduate Student,Student,Male,1
417,6,USA,USA,Graduate Student,Student,Male,0
418,6,USA,USA,Professor,Professional/Academic,Male,2
419,6,USA,USA,Professor,Professional/Academic,Male,5
420,6,USA,USA,Graduate Student,Student,Female,1
421,6,USA,USA,Professor,Professional/Academic,Male,0
422,6,USA,USA,Professor,Complimentary Registration,Female,1
423,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Male,1
424,6,USA,USA,Professor,Professional/Academic,Female,0
425,6,USA,USA,Professor,Professional/Academic,Male,3
426,6,China,Asia,Professor,Professional/Academic,Male,1
427,6,USA,USA,Industry,Professional/Academic,Male,0
428,6,USA,USA,Industry,Complimentary Registration,Unknown,0
429,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Male,1
430,6,Saudi Arabia,Middle East,Postdoctoral Researcher,Professional/Academic,Male,0
431,6,USA,USA,Industry,Professional/Academic,Male,0
432,6,USA,USA,Industry,Professional/Academic,Female,0
433,6,China,Asia,Professor,Professional/Academic,Male,1
434,6,USA,USA,Graduate Student,Student,Female,0
435,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Male,1
436,6,USA,USA,Graduate Student,Student,Male,0
437,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Male,1
438,6,USA,USA,Professor,Professional/Academic,Male,0
439,6,USA,USA,Industry,Professional/Academic,Female,0
440,6,USA,USA,Professor,Professional/Academic,Male,0
441,6,USA,USA,Professor,Professional/Academic,Male,0
442,6,USA,USA,Graduate Student,Student,Male,0
443,6,Germany,Europe,Graduate Student,Student,Female,0
444,6,USA,USA,Graduate Student,Student,Male,0
445,6,USA,USA,Graduate Student,Student,Male,0
446,6,USA,USA,Graduate Student,Complementary Registration - Student,Female,0
447,6,USA,USA,Graduate Student,Complementary Registration - Student,Male,1
448,6,USA,USA,Postdoctoral Researcher,Student,Male,0
449,6,USA,USA,Graduate Student,Student,Male,0
450,6,USA,USA,Postdoctoral Researcher,Student,Female,0
451,6,USA,USA,Professor,Professional/Academic,Male,0
452,6,USA,USA,Industry,Professional/Academic,Female,0
453,6,USA,USA,Industry,Professional/Academic,Male,0
454,6,USA,USA,Professor,Professional/Academic,Male,2
455,6,USA,USA,Graduate Student,Student,Female,2
456,6,Canada,Other Americas,Graduate Student,Professional/Academic,Female,0
457,6,Saudi Arabia,Middle East,Postdoctoral Researcher,Professional/Academic,Female,0
458,6,USA,USA,Graduate Student,Student,Male,1
459,6,USA,USA,Government Scientist,Student,Unknown,0
460,6,USA,USA,Graduate Student,Student,Female,1
461,6,USA,USA,Professor,Professional/Academic,Female,1
462,6,USA,USA,Graduate Student,Student,Male,1
463,6,USA,USA,Graduate Student,Student,Female,0
464,6,USA,USA,Industry,Professional/Academic,Male,0
465,6,USA,USA,Graduate Student,Student,Female,0
466,6,USA,USA,Professor,Professional/Academic,Male,0
467,6,USA,USA,Graduate Student,Student,Male,0
468,6,United Kingdom,Europe,Graduate Student,Student,Male,0
469,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Male,0
470,6,USA,USA,Graduate Student,Student,Female,0
471,6,USA,USA,Professor,Professional/Academic,Female,0
472,6,USA,USA,Undergraduate Student,Student,Female,0
473,6,USA,USA,Government Scientist,Professional/Academic,Male,0
474,6,USA,USA,Undergraduate Student,Student,Male,0
475,6,USA,USA,Graduate Student,Student,Male,1
476,6,USA,USA,Graduate Student,Student,Female,1
477,6,USA,USA,Graduate Student,Student,Male,1
478,6,USA,USA,Graduate Student,Student,Male,0
479,6,USA,USA,Industry,Professional/Academic,Male,0
480,6,USA,USA,Industry,Professional/Academic,Female,0
481,6,USA,USA,Graduate Student,Student,Female,0
482,6,USA,USA,Industry,Professional/Academic,Female,0
483,6,Saudi Arabia,Middle East,Postdoctoral Researcher,Professional/Academic,Female,0
484,6,Australia,Oceania,Graduate Student,Student,Female,0
485,6,USA,USA,Industry,Student,Female,0
486,6,USA,USA,Graduate Student,Student,Male,0
487,6,USA,USA,Professor,Professional/Academic,Male,1
488,6,USA,USA,Industry,Professional/Academic,Male,0
489,6,USA,USA,Graduate Student,Student,Male,0
490,6,Germany,Europe,Graduate Student,Student,Male,0
491,6,USA,USA,Industry,Professional/Academic,Male,0
492,6,USA,USA,Undergraduate Student,Complementary Registration - Student,Female,1
493,6,Netherlands,Europe,Graduate Student,Student,Male,1
494,6,USA,USA,Graduate Student,Student,Female,1
495,6,Netherlands,Europe,Professor,Complimentary Registration,Female,0
496,6,USA,USA,Professor,Complimentary Registration,Male,0
497,6,USA,USA,Graduate Student,Student,Male,0
498,6,USA,USA,Graduate Student,Student,Male,1
499,6,Saudi Arabia,Middle East,Professor,Professional/Academic,Female,0
500,6,USA,USA,Academia Scientist,Professional/Academic,Female,0
501,6,USA,USA,Professor,Professional/Academic,Male,1
502,6,Saudi Arabia,Middle East,Academia Scientist,Professional/Academic,Male,0
503,6,USA,USA,Professor,Complimentary Registration,Female,1
504,6,USA,USA,Graduate Student,Student,Female,0
505,6,USA,USA,Graduate Student,Student,Female,0
506,6,USA,USA,Graduate Student,Student,Female,1
507,6,USA,USA,Undergraduate Student,Complementary Registration - Student,Male,0
508,6,USA,USA,Graduate Student,Student,Male,0
509,6,USA,USA,Graduate Student,Student,Male,0
510,6,USA,USA,Professor,Professional/Academic,Male,0
511,6,USA,USA,Graduate Student,Student,Male,1
512,6,USA,USA,Graduate Student,Student,Male,0
513,6,USA,USA,Professor,Professional/Academic,Male,1
514,6,United Kingdom,Europe,Graduate Student,Student,Male,0
515,6,USA,USA,Industry,Professional/Academic,Male,0
516,6,USA,USA,Industry,Professional/Academic,Male,0
517,6,USA,USA,Graduate Student,Student,Male,1
518,6,USA,USA,Graduate Student,Student,Male,0
519,6,USA,USA,Industry,Professional/Academic,Female,0
520,6,USA,USA,Government Scientist,Professional/Academic,Male,0
521,6,USA,USA,Graduate Student,Student,Female,0
522,6,USA,USA,Graduate Student,Student,Male,0
523,6,USA,USA,Industry,Professional/Academic,Female,0
524,6,Canada,Other Americas,Industry,Professional/Academic,Male,0
525,6,USA,USA,Professor,Professional/Academic,Male,1
526,6,USA,USA,Graduate Student,Student,Male,0
527,6,USA,USA,Professor,Professional/Academic,Male,1
528,6,USA,USA,Professor,Professional/Academic,Male,0
529,6,USA,USA,Graduate Student,Student,Male,0
530,6,Saudi Arabia,Middle East,Professor,Professional/Academic,Male,0
531,6,USA,USA,Industry,Professional/Academic,Male,0
532,6,USA,USA,Academia Scientist,Student,Male,0
533,6,USA,USA,Industry,Professional/Academic,Male,0
534,6,Canada,Other Americas,Graduate Student,Student,Male,1
535,6,USA,USA,Graduate Student,Student,Male,0
536,6,USA,USA,Industry,Professional/Academic,Male,0
537,6,Saudi Arabia,Middle East,Unknown/Other,Student,Male,0
538,6,USA,USA,Graduate Student,Student,Female,0
539,6,USA,USA,Graduate Student,Student,Male,1
540,6,USA,USA,Professor,Professional/Academic,Female,3
541,6,USA,USA,Graduate Student,Student,Male,2
542,6,USA,USA,Unknown/Other,Student,Unknown,0
543,6,USA,USA,Professor,Professional/Academic,Female,1
544,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Male,1
545,6,China,Asia,Professor,Professional/Academic,Male,1
546,6,USA,USA,Industry,Professional/Academic,Male,0
547,6,USA,USA,Academia Scientist,Student,Male,0
548,6,USA,USA,Professor,Professional/Academic,Male,1
549,6,Israel,Middle East,Professor,Professional/Academic,Male,0
550,6,USA,USA,Industry,Professional/Academic,Male,0
551,6,USA,USA,Industry,Professional/Academic,Male,0
552,6,USA,USA,Graduate Student,Student,Male,0
553,6,USA,USA,Industry,Student,Female,0
554,6,Italy,Europe,Graduate Student,Student,Female,0
555,6,USA,USA,Graduate Student,Student,Male,0
556,6,USA,USA,Graduate Student,Student,Female,0
557,6,USA,USA,Graduate Student,Student,Unknown,0
558,6,Switzerland,Europe,Industry,Student,Male,1
559,6,USA,USA,Graduate Student,Student,Male,0
560,6,USA,USA,Government Scientist,Professional/Academic,Male,0
561,6,USA,USA,Graduate Student,Student,Male,0
562,6,USA,USA,Graduate Student,Student,Male,0
563,6,USA,USA,Graduate Student,Student,Female,1
564,6,USA,USA,Graduate Student,Student,Male,0
565,6,United Kingdom,Europe,Academia Scientist,Professional/Academic,Male,0
566,6,USA,USA,Graduate Student,Student,Male,0
567,6,Canada,Other Americas,Graduate Student,Student,Male,0
568,6,USA,USA,Graduate Student,Student,Male,1
569,6,Saudi Arabia,Middle East,Graduate Student,Student,Female,0
570,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Male,0
571,6,USA,USA,Industry,Professional/Academic,Male,0
572,6,USA,USA,Graduate Student,Student,Unknown,0
573,6,USA,USA,Industry,Complimentary Registration,Male,0
574,6,USA,USA,Undergraduate Student,Student,Male,1
575,6,Germany,Europe,Postdoctoral Researcher,Student,Female,1
576,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Female,0
577,6,India,Asia,Undergraduate Student,Student,Female,0
578,6,USA,USA,Industry,Professional/Academic,Unknown,0
579,6,Spain,Europe,Professor,Professional/Academic,Male,0
580,6,Germany,Europe,Industry,Professional/Academic,Male,0
581,6,Germany,Europe,Industry,Professional/Academic,Male,1
582,6,USA,USA,Graduate Student,Student,Male,0
583,6,Israel,Middle East,Graduate Student,Student,Unknown,1
584,6,USA,USA,Government Scientist,Professional/Academic,Male,0
585,6,USA,USA,Graduate Student,Student,Male,0
586,6,USA,USA,Graduate Student,Student,Female,1
587,6,USA,USA,Industry,Professional/Academic,Male,0
588,6,USA,USA,Professor,Professional/Academic,Male,1
589,6,USA,USA,Graduate Student,Student,Male,0
590,6,USA,USA,Industry,Professional/Academic,Male,0
591,6,USA,USA,Graduate Student,Student,Female,0
592,6,USA,USA,Industry,Professional/Academic,Male,0
593,6,Australia,Oceania,Graduate Student,Student,Male,0
594,6,USA,USA,Academia Scientist,Professional/Academic,Male,1
595,6,USA,USA,Industry,Professional/Academic,Female,0
596,6,Israel,Middle East,Graduate Student,Student,Male,0
597,6,USA,USA,Graduate Student,Student,Male,0
598,6,USA,USA,Industry,Professional/Academic,Male,0
599,6,USA,USA,Graduate Student,Student,Male,0
600,6,Saudi Arabia,Middle East,Postdoctoral Researcher,Student,Male,0
